CRPFilerid,is_scam
C00739003,0
C00740431,0
C00067231,0
C00748897,0
C00152892,0
C00757237,0
C00704593,0
C00298000,0
C00181529,0
C00690032,0
C00671479,0
C00034256,0
C00744128,0
C00431429,0
C00427401,0
C00542902,0
C00684399,0
C00617480,0
C00530816,0
C00577361,0
C00724104,0
C00669325,0
C00432534,0
C00382432,0
C00137273,0
C00583526,0
C00751339,1
C00477067,0
C00629311,0
C00696955,0
C00450239,0
C00739516,0
C00007898,0
C00010439,0
C00493304,0
C00552778,0
C00167015,1
C00654764,0
C00495002,0
C00461137,0
C00254268,0
C00233247,0
C00432757,0
C00388751,0
C00654590,0
C00349373,0
C00751180,0
C00748855,0
C00191247,0
C00616391,0
C00545830,0
C00365122,0
C00340018,0
C00704452,0
C00554097,0
C00756312,0
C00745232,0
C00083758,0
C00416347,0
C00664961,0
C00545947,0
C00519900,0
C00471813,0
C00745695,0
C00383489,0
C00034330,0
C00304634,0
C00742791,0
C00040584,0
C00521914,0
C00689091,0
C00487298,0
C00016386,0
C00339499,0
C00681858,0
C00136457,1
C00316455,0
C00682914,0
C00035204,0
C00490615,0
C00159954,0
C00661264,0
C00723874,0
C00761452,0
C00553560,0
C00730747,0
C00106716,0
C00750919,0
C00167320,1
C00755694,0
C00374298,0
C00762377,0
C00046086,0
C00481986,0
C00358440,0
C00119354,0
C00723577,0
C00655092,0
C00531590,0
C00763193,0
C00746347,0
C00509174,0
C00729871,0
C00462630,0
C00384354,0
C00696484,0
C00733725,0
C00033423,0
C00659060,0
C00402602,0
C00655324,0
C00370213,0
C00231076,0
C00710988,0
C00428391,0
C00390971,0
C00730770,0
C00712448,0
C00739730,0
C00544908,0
C00707828,0
C00415166,0
C00714220,0
C00325324,0
C00722025,0
C00710889,0
C00216614,0
C00216127,0
C00326751,0
C00757997,0
C00629592,0
C00478149,0
C00064774,0
C00300863,0
C00685115,0
C00548651,1
C00716472,0
C00369751,0
C00458570,0
C00461145,0
C00716365,0
C00351635,0
C00346130,0
C00580381,0
C00700252,0
C00545137,0
C00147066,0
C00636837,0
C00364158,0
C00688101,0
C00563825,0
C00042366,1
C00712497,0
C00343574,0
C00741231,0
C00357863,0
C00696591,0
C00242040,0
C00396556,0
C00559740,1
C00015594,0
C00507574,0
C00331454,0
C00480228,0
C00187112,0
C00753913,0
C00114132,0
C00280222,0
C00315713,0
C00395434,0
C00757161,0
C00484667,0
C00494997,0
C00233049,0
C00570622,0
C00637314,0
C00528901,0
C00556860,0
C00380535,0
C00312223,0
C00634576,0
C00012914,0
C00669929,0
C00550483,0
C00429787,0
C00678482,0
C00082677,0
C00523670,0
C00113019,0
C00689687,0
C00758433,0
C00685321,0
C00102764,0
C00250399,0
C00747642,0
C00592337,0
C00167213,0
C00569970,0
C00114371,0
C00641050,0
C00631796,0
C00676338,0
C00301424,0
C00527663,0
C00634154,0
C00744557,0
C00688986,0
C00097196,0
C00350108,0
C00368159,0
C00450734,0
C00497073,0
C00491456,0
C00745349,0
C00696542,0
C00428110,0
C00383992,0
C00306035,0
C00688192,0
C00109678,0
C00308478,0
C00718890,0
C00529719,0
C00709113,0
C00654053,1
C00493924,0
C00114447,0
C00754465,0
C00586834,0
C00418095,0
C00260331,0
C00674242,0
C00753673,0
C00566851,0
C00375451,0
C00718841,0
C00197202,0
C00664128,1
C00623595,0
C00239905,0
C00661462,0
C00097485,0
C00177972,0
C00705061,0
C00632554,1
C00690198,0
C00010868,0
C00192153,0
C00272724,0
C00730234,0
C00412395,0
C00558718,0
C00442434,0
C00704072,0
C00578542,0
C00715433,0
C00167916,0
C00512673,0
C00563072,0
C00042002,0
C00173278,0
C00740001,0
C00757260,0
C00237495,0
C00553834,0
C00153445,0
C00387696,0
C00744839,0
C00240911,0
C00727602,0
C00655886,0
C00510701,0
C00763466,0
C00149013,0
C00411611,0
C00228379,0
C00759274,0
C00411769,0
C00509521,0
C00431981,0
C00418400,0
C00583443,0
C00711903,0
C00370122,0
C00303818,0
C00170258,0
C00356345,0
C00461624,0
C00314617,0
C00271338,1
C00346361,0
C00620914,0
C00291799,0
C00029504,1
C00754671,0
C00381681,0
C00302240,0
C00462879,1
C00762740,0
C00727347,0
C00432815,0
C00531285,0
C00748418,0
C00506733,0
C00351270,0
C00404483,0
C00217877,0
C00004911,0
C00656777,0
C00710202,0
C00726802,0
C00652644,0
C00253369,0
C00007922,1
C00678714,0
C00580589,0
C00757708,0
C00759159,0
C00033704,0
C00581066,0
C00223073,0
C00746685,0
C00395889,0
C00220558,0
C00456699,0
C00501858,0
C00390104,0
C00760041,0
C00725994,0
C00669622,0
C00064766,1
C00192906,0
C00653154,0
C00491142,0
C00104687,0
C00253153,0
C00523621,1
C00758060,0
C00199463,0
C00661272,0
C00585687,0
C00319723,0
C00567883,0
C00450692,0
C00636225,0
C00753061,0
C00420596,0
C00541011,1
C00748061,0
C00257956,0
C00625921,0
C00403998,0
C00683250,0
C00623413,0
C00541391,0
C00370007,0
C00416743,0
C00151563,0
C00030734,0
C00363770,0
C00652701,0
C00110478,0
C00760967,0
C00355818,0
C00334417,0
C00755926,0
C00406801,0
C00415026,0
C00693192,0
C00720227,0
C00674127,0
C00753301,0
C00545079,0
C00748228,0
C00744961,0
C00716290,0
C00730275,0
C00339085,0
C00701789,0
C00755306,0
C00573550,0
C00354241,0
C00558700,0
C00751438,0
C00744821,0
C00734947,0
C00488742,0
C00640458,0
C00074450,1
C00719211,0
C00738138,0
C00690693,0
C00048702,0
C00236778,0
C00759043,0
C00200329,0
C00722116,0
C00648899,0
C00630574,0
C00720060,0
C00043919,0
C00558932,0
C00415992,0
C00759688,0
C00727313,0
C00667360,0
C00687699,0
C00686972,0
