Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
37.816495,-107.66085499999997,0,0,0.0,2849,9347,1,123,Developed,0,1.45
37.816697428818635,-107.6606254775125,30,99,0.018797799679289743,2849,9347,1,158,Developed,0,1.84
37.81691567742382,-107.66041765221391,61,199,0.03768865248905465,2849,9347,2,133,Developed,0,0.74
37.81714941706836,-107.66023779386214,91,299,0.05660928870095676,2849,9347,0,116,Developed,0,0.15
37.81737721609333,-107.66004856185009,121,398,0.0754560803980111,2850,9350,3,216,Developed,0,5.56
37.817588175231506,-107.65982862479387,152,498,0.09436009656962757,2852,9357,8,192,Developed,0,10.34
37.81775843245841,-107.65955937407334,182,598,0.11320554055915258,2855,9367,6,221,Developed,0,10.1
37.817925210916826,-107.65928581673475,213,697,0.13208727160279693,2858,9377,7,213,Developed,0,10.68
37.818018332090894,-107.65896707462205,242,795,0.15065696271170392,2861,9386,4,232,Developed,0,8.17
37.818083468553056,-107.65863178590564,273,895,0.16952372676087368,2863,9393,4,282,Developed,0,10.74
37.81820507954265,-107.65838428844025,298,979,0.18545019950315095,2866,9403,9,189,Developed,0,10.57
37.818417783750846,-107.65858860262693,328,1077,0.20391926458226123,2869,9413,6,125,Grassland,0,8.52
37.8185680357761,-107.65887450170484,358,1176,0.22268260835969644,2871,9419,4,129,Developed,0,6.99
37.81877911690912,-107.6590935044587,389,1275,0.2415606130549657,2873,9426,2,168,Developed,0,2.97
37.818978810227485,-107.65933029529985,419,1375,0.26048689107065437,2875,9432,7,199,Developed,0,4.5
37.81913958945765,-107.6596091384264,450,1475,0.2793502967678062,2877,9439,16,176,Developed,0,7.89
37.8192707655913,-107.65991071212778,480,1574,0.2981616152655587,2879,9446,9,153,Developed,0,8.8
37.81938367746937,-107.66022451932022,510,1674,0.3170033664380629,2881,9452,7,146,Developed,0,7.86
37.81957826915868,-107.6604544912727,540,1771,0.33541733932601026,2883,9459,8,126,Developed,25,7.16
37.81980917959184,-107.66064059368503,570,1871,0.3543518620775686,2885,9465,6,148,Developed,28,3.74
37.82004139243752,-107.66082379749294,601,1971,0.37327817799057167,2887,9472,12,229,Developed,0,3.76
37.82024308967087,-107.66105422027618,631,2070,0.3920708330554549,2889,9478,17,183,Grassland,0,9.06
37.82041761259526,-107.66132032464746,661,2170,0.4109690612276372,2891,9485,6,110,Grassland,0,5.83
37.82056861683525,-107.66160785050576,692,2270,0.42983487994896596,2891,9485,11,192,Grassland,0,-0.34
37.820650853259764,-107.6619324837518,722,2368,0.4484626872847189,2893,9491,25,183,Developed,0,4.27
37.82065321297511,-107.66227833281201,752,2468,0.46736065582125336,2894,9495,13,140,Developed,0,7.11
37.8207275979119,-107.66261040147094,782,2567,0.48622037128880785,2896,9501,4,81,Developed,0,5.5
37.82087046492159,-107.66290458958937,813,2667,0.505089560068588,2897,9505,9,156,Developed,0,4.59
37.82103839974432,-107.66317753919003,843,2767,0.523993559706071,2899,9511,8,175,Developed,0,3.72
37.82123057830325,-107.66342207720038,874,2866,0.5428412874771857,2900,9514,9,181,Developed,0,2.64
37.82144028995822,-107.66364360949036,904,2966,0.5617341017632459,2900,9514,9,204,Developed,0,0.89
37.82162882045416,-107.66389495889555,935,3066,0.5806727887765064,2901,9518,11,192,Developed,0,0.88
37.82183401485961,-107.66412216281148,965,3166,0.5995292903545824,2901,9518,11,177,Developed,0,-0.11
37.82205439371734,-107.66432506899199,995,3265,0.6183782983698677,2901,9518,15,207,Developed,0,1.75
37.82229947528262,-107.66447364405188,1025,3364,0.6371742316671147,2901,9518,6,191,Developed,0,-1.38
37.82250501532016,-107.66470248638957,1056,3464,0.6561076616098755,2901,9518,20,227,Forest,0,-0.61
37.82271111788022,-107.66492449962547,1086,3563,0.6748263677607259,2901,9518,18,211,Forest,0,0.01
37.82287687785281,-107.66519967976335,1116,3663,0.69373477261299,2902,9521,17,209,Developed,0,3.42
37.82306054535994,-107.66545475338917,1147,3762,0.7125931123734782,2901,9518,6,210,Grassland,0,-5.15
37.82324203258367,-107.66571015924725,1177,3862,0.731363651368195,2899,9511,34,251,Developed,0,-15.61
37.82347770461925,-107.66587778412065,1207,3960,0.7500618732321482,2897,9505,34,248,Crops,0,-3.31
37.82373298218813,-107.6660016471704,1238,4060,0.768972061686527,2896,9501,35,233,Grassland,0,-1.64
37.82395263121796,-107.66620248674361,1268,4159,0.7877137627575465,2895,9498,35,236,Forest,32,-1.59
37.82418517669292,-107.66638276046353,1298,4259,0.8065752170721259,2894,9495,34,241,Forest,35,-0.16
37.82441297802579,-107.66657081272564,1328,4358,0.8253863165981358,2894,9495,31,233,Grassland,0,-0.29
37.82463787394689,-107.66676771602735,1359,4458,0.8443002078252383,2894,9495,21,223,Forest,25,2.71
37.82487551561721,-107.66693588387344,1389,4557,0.8631316987467038,2895,9498,21,231,Grassland,0,4.43
37.82511230609644,-107.66710817246178,1419,4657,0.8820229766321551,2896,9501,19,232,Forest,27,4.6
37.825344165408524,-107.66729088253211,1450,4757,0.9009138933604065,2898,9508,14,229,Grassland,0,4.19
37.825583237889276,-107.66744947608318,1480,4855,0.9195833287415283,2899,9511,12,227,Grassland,0,5.15
37.82583605876912,-107.66757920376588,1510,4955,0.9384528776856684,2901,9518,14,219,Grassland,0,8.96
37.82606981966636,-107.66775848881795,1541,5055,0.9573579045457419,2903,9524,17,203,Forest,31,6.75
37.82625992149353,-107.66800743967721,1571,5155,0.9762765383843267,2906,9534,26,207,Forest,0,12.46
37.82644222107625,-107.66826457218285,1602,5254,0.9951543543503371,2910,9547,28,183,Grassland,0,17.75
37.82666561942974,-107.66846461942973,1632,5354,1.0140816398895005,2914,9560,5,122,Forest,0,12.04
37.82687391023454,-107.66868942837428,1662,5454,1.0330141746604617,2917,9570,10,152,Forest,0,9.74
37.8270979099121,-107.66888567649701,1693,5554,1.051856513585386,2920,9580,14,176,Forest,30,7.29
37.827338624190354,-107.66904604914637,1723,5653,1.0706715881477404,2922,9587,16,208,Grassland,0,4.45
37.827601612666314,-107.66913906737867,1753,5753,1.0895592128874423,2924,9593,5,185,Grassland,0,2.5
37.827866413205385,-107.66921572740335,1784,5852,1.1083483821335418,2925,9596,11,244,Forest,36,1.67
37.8281204349719,-107.66933534797751,1814,5951,1.1270952828449905,2926,9600,13,215,Forest,28,4.39
37.828318498875625,-107.66957367061968,1844,6051,1.1459958932281726,2928,9606,12,188,Forest,28,9.06
37.82853651063853,-107.66977864873562,1875,6150,1.1647794256284196,2930,9613,5,154,Forest,0,8.65
37.82871986577497,-107.67003224100563,1905,6249,1.1835626489708093,2933,9623,10,143,Forest,31,9.63
37.82891839078083,-107.67025657955891,1934,6346,1.2019689883134275,2935,9629,9,134,Forest,42,8.58
37.829160624100375,-107.6704126924458,1965,6446,1.2207702972712247,2938,9639,8,155,Forest,30,6.49
37.82939938127822,-107.67057654083797,1995,6545,1.2395553094799716,2940,9646,7,160,Forest,44,9.43
37.82966709611933,-107.67064076830133,2025,6644,1.2584028302820423,2943,9656,13,197,Forest,35,8.33
37.82993264179325,-107.67071700967078,2056,6744,1.2772371499166613,2945,9662,5,175,Forest,24,5.99
37.83020249697682,-107.67076636038333,2086,6843,1.296096911028338,2947,9669,12,245,Forest,0,4.29
37.830471921037365,-107.67082442689718,2116,6943,1.3150012112108838,2949,9675,20,221,Forest,0,9.81
37.83072820258153,-107.67094138322628,2147,7043,1.3338447623385872,2951,9682,5,193,Forest,35,7.94
37.83099485168293,-107.67101652259622,2177,7142,1.3527403402272826,2953,9688,10,222,Forest,34,4.63
37.83125958937601,-107.67110091433389,2207,7242,1.3716238942427514,2955,9695,26,237,Forest,24,6.95
37.8315269663073,-107.67116126277259,2238,7341,1.3904100862679007,2957,9701,19,221,Forest,0,8.36
37.831788019198854,-107.67125446501757,2268,7440,1.4091714453945838,2959,9708,13,211,Forest,26,5.18
37.83203646546389,-107.67139330277703,2298,7540,1.4279560657070938,2961,9715,10,206,Forest,0,5.78
